SEQCATEGORIA;NRODIVISAO;TIPCATEGORIA;NIVELHIERARQUIA;CATEGORIA;ACTFAMILIA;MGMLUCROCATEGORIA;QTDPADRAODIAESTQ;OBJETIVONONEGOCIO;SEQCATEGORIAPAI;STATUSCATEGOR;INDUSAABC;CODAUXAFV;INDUSAPERCACRTABVENDA;PERCDIFPRECOEMB;INDREPLICACAO;INDGEROUREPLICACAO;DTABASEEXPORTACAO;NROBASEEXPORTACAO;PERCMAXDESCCOMERC;PERCACRESDESCPRECOEMP;QTDESTOQUEDIASMEDVDA;MGMSUGESTAOPRWEB;NROSEGESPECIALPDV;INDEXIGEREQUISICAO;PESOAGRUPCARGAEXP;PERCEXATCOLETA;DATAHORAALTERACAO;DATAHORAINTEGRAECOMMERCE;EXIGETABNUTRI;QTDPARCELAETIQUETACATEG;NRODIAMEDIAFORAPROMOCCATEG;NRODIACOMPOEMEDIACATEG;GRUPOCONTABIL;TITULOECOMMERCE;DESCECOMMERCE;PALAVRACHAVEECOMMERCE;NRODIAESTQECOMMERCE;CAMINHOCOMPLETO;PERDESCRESSARCSTSN;INDCONTROLALIMITECOMPRA;LISTAATRIBCLASATIV;IDECOMMERCEFILTRO;IDECOMMERCEVALOR;DATAHORAINTEGRAFILTROECOMMERCE;DTAHORAINTEGRACAOECOMMERCE;PERDIASADVERRECBTO;GRUPOCATEGORIA;INDTIPOSUGESTAOPRECO;PERCMAXACRESCIMOSUGPR;PERCMAXDESCONTOSUGPR;PERCCOMISSAONORMAL;PERCCOMISSAOPROMOC;INDPRECOFIXO;INDALTERMANUAL;DTAHORALTERACAO;USUALTERACAO;PERCPRECIFATCCDIV;PERMITEETQDESCPDV;PERMARKUP;PERMPGTOALIMENTACAO;INDUTILENCARTE;SEQCATEGIMPORTACAOERP;NRODIVISAOIMPORTACAOERP;INDPERMITELERPESOPDV;NROBASEEXPORTACAOERP
25;1;M;3;CDS DVDS E ACESSORIOS;N;0;;;8;I;S;;S;;S;;2024-10-02-09.53.41.000000;1706969;;;;0;;;;0;2024-10-02-09.53.41.000000;;;;;;;;;;;NAO ALIMENTO \ CULTURA \ CDS DVDS E ACESSORIOS;;S;;;;;;;;;;;;;;;2024-10-02-09.53.41.000000;PACEZAR;;N;0;;S;;;;
26;1;M;3;LIVROS E REVISTAS;N;0;;;8;I;S;;S;;S;;2024-10-02-09.53.41.000000;1706969;;;;0;;;;0;2024-10-02-09.53.41.000000;;;;;;;;;;;NAO ALIMENTO \ CULTURA \ LIVROS E REVISTAS;;S;;;;;;;;;;;;;;;2024-10-02-09.53.41.000000;PACEZAR;;N;0;;S;;;;
27;1;M;3;PAPELARIA;N;0;;;8;I;S;;S;;S;;2024-10-02-09.53.41.000000;1706969;;;;0;;;;0;2024-10-02-09.53.41.000000;;;;;;;;;;;NAO ALIMENTO \ CULTURA \ PAPELARIA;;S;;;;;;;;;;;;;;;2024-10-02-09.53.41.000000;PACEZAR;;N;0;;S;;;;
28;1;M;3;DESCARTAVEIS CAFE;N;0;;;9;I;S;;S;;S;;2024-10-02-09.53.53.000000;1706971;;;;0;;;;0;2024-10-02-09.53.53.000000;;;;;;;;;;;NAO ALIMENTO \ DESCARTAVEIS \ DESCARTAVEIS CAFE;;S;;;;;;;;;;;;;;;2024-10-02-09.53.53.000000;PACEZAR;;N;0;;S;;;;
29;1;M;3;DESCARTAVEIS DA CASA;N;0;;;9;I;S;;S;;S;;2024-10-02-09.53.53.000000;1706971;;;;0;;;;0;2024-10-02-09.53.53.000000;;;;;;;;;;;NAO ALIMENTO \ DESCARTAVEIS \ DESCARTAVEIS DA CASA;;S;;;;;;;;;;;;;;;2024-10-02-09.53.53.000000;PACEZAR;;N;0;;S;;;;
30;1;M;3;DESCARTAVEIS FESTA;N;0;;;9;I;S;;S;;S;;2024-10-02-09.53.53.000000;1706971;;;;0;;;;0;2024-10-02-09.53.53.000000;;;;;;;;;;;NAO ALIMENTO \ DESCARTAVEIS \ DESCARTAVEIS FESTA;;S;;;;;;;;;;;;;;;2024-10-02-09.53.53.000000;PACEZAR;;N;0;;S;;;;
31;1;M;3;ELETRONICOS;N;0;;;10;I;S;;S;;S;;2024-10-02-09.53.56.000000;1706972;;;;0;;;;0;2024-10-02-09.53.56.000000;;;;;;;;;;;NAO ALIMENTO \ ELETRO \ ELETRONICOS;;S;;;;;;;;;;;;;;;2024-10-02-09.53.56.000000;PACEZAR;;N;0;;S;;;;
33;1;M;3;BRINQUEDOS;N;0;;;11;I;S;;S;;S;;2024-10-02-09.53.37.000000;1706968;;;;0;;;;0;2024-10-02-09.53.37.000000;;;;;;;;;;;NAO ALIMENTO \ LAZER \ BRINQUEDOS;;S;;;;;;;;;;;;;;;2024-10-02-09.53.37.000000;PACEZAR;;N;0;;S;;;;
36;1;M;3;UTENSILIOS PARA LIMPEZA;N;0;;;12;I;S;;S;;S;;2024-10-02-09.53.33.000000;1706967;;;;0;;;;0;2024-10-02-09.53.33.000000;;;;;;;;;;;NAO ALIMENTO \ LIMPEZA DA CASA \ UTENSILIOS PARA LIMPEZA;;S;;;;;;;;;;;;;;;2024-10-02-09.53.33.000000;PACEZAR;;N;0;;S;;;;
38;1;M;3;PET;N;0;;;13;I;S;;S;;S;;2024-10-03-16.31.04.000000;1728787;;;;0;;;;0;2024-10-03-16.31.04.000000;;;;;;;;;;;NAO ALIMENTO \ PET E JARDIM \ PET;;S;;;;;;;;;;;;;;;2024-10-03-16.31.04.000000;PACEZAR;;N;0;;S;;;;
43;1;M;4;ACESS E COMPLEMENTO;N;0;;;39;I;S;;S;;S;;2024-10-02-09.53.11.000000;1706963;;;;0;;;;0;2024-10-02-09.53.11.000000;;;;;;;;;;;NAO ALIMENTO \ ACESSORIOS E CALCADO \ ACESSORIOS \ ACESS E COMPLEMENTO;;S;;;;;;;;;;;;;;;2024-10-02-09.53.11.000000;PACEZAR;;N;0;;S;;;;
45;1;M;4;CHINELO;N;0;;;40;I;S;;S;;S;;2024-10-02-09.53.11.000000;1706963;;;;0;;;;0;2024-10-02-09.53.11.000000;;;;;;;;;;;NAO ALIMENTO \ ACESSORIOS E CALCADO \ CALCADOS \ CHINELO;;S;;;;;;;;;;;;;;;2024-10-02-09.53.11.000000;PACEZAR;;N;0;;S;;;;
47;1;M;5;BLUSA;S;0;;;43;I;S;;S;;S;;2024-10-02-09.53.11.000000;1706963;;;;0;;;;0;2024-10-02-09.53.11.000000;;;;;;;;;;;NAO ALIMENTO \ ACESSORIOS E CALCADO \ ACESSORIOS \ ACESS E COMPLEMENTO \ BLUSA;;S;;;;;;;;;;;;;;;2024-10-02-09.53.11.000000;PACEZAR;;N;0;;S;;;;
48;1;M;5;CUECA;S;0;;;43;I;S;;S;;S;;2024-10-02-09.53.11.000000;1706963;;;;0;;;;0;2024-10-02-09.53.11.000000;;;;;;;;;;;NAO ALIMENTO \ ACESSORIOS E CALCADO \ ACESSORIOS \ ACESS E COMPLEMENTO \ CUECA;;S;;;;;;;;;;;;;;;2024-10-02-09.53.11.000000;PACEZAR;;N;0;;S;;;;
50;1;M;5;NECESSARIE;S;0;;;43;I;S;;S;;S;;2024-10-02-09.53.11.000000;1706963;;;;0;;;;0;2024-10-02-09.53.11.000000;;;;;;;;;;;NAO ALIMENTO \ ACESSORIOS E CALCADO \ ACESSORIOS \ ACESS E COMPLEMENTO \ NECESSARIE;;S;;;;;;;;;;;;;;;2024-10-02-09.53.11.000000;PACEZAR;;N;0;;S;;;;
51;1;M;5;PECA INTIMA FEMININA;S;0;;;43;I;S;;S;;S;;2024-10-02-09.53.11.000000;1706963;;;;0;;;;0;2024-10-02-09.53.11.000000;;;;;;;;;;;NAO ALIMENTO \ ACESSORIOS E CALCADO \ ACESSORIOS \ ACESS E COMPLEMENTO \ PECA INTIMA FEMININA;;S;;;;;;;;;;;;;;;2024-10-02-09.53.11.000000;PACEZAR;;N;0;;S;;;;
52;1;M;5;BOTINA;S;0;;;44;I;S;;S;;S;;2024-10-02-09.53.11.000000;1706963;;;;0;;;;0;2024-10-02-09.53.11.000000;;;;;;;;;;;NAO ALIMENTO \ ACESSORIOS E CALCADO \ CALCADOS \ BOTINA \ BOTINA;;S;;;;;;;;;;;;;;;2024-10-02-09.53.11.000000;PACEZAR;;N;0;;S;;;;
53;1;M;5;CHINELO FEMININO;S;0;;;45;I;S;;S;;S;;2024-10-02-09.53.11.000000;1706963;;;;0;;;;0;2024-10-02-09.53.11.000000;;;;;;;;;;;NAO ALIMENTO \ ACESSORIOS E CALCADO \ CALCADOS \ CHINELO \ CHINELO FEMININO;;S;;;;;;;;;;;;;;;2024-10-02-09.53.11.000000;PACEZAR;;N;0;;S;;;;
54;1;M;5;CHINELO INFANTIL;S;0;;;45;I;S;;S;;S;;2024-10-02-09.53.11.000000;1706963;;;;0;;;;0;2024-10-02-09.53.11.000000;;;;;;;;;;;NAO ALIMENTO \ ACESSORIOS E CALCADO \ CALCADOS \ CHINELO \ CHINELO INFANTIL;;S;;;;;;;;;;;;;;;2024-10-02-09.53.11.000000;PACEZAR;;N;0;;S;;;;
55;1;M;5;CHINELO MASCULINO;S;0;;;45;I;S;;S;;S;;2024-10-02-09.53.11.000000;1706963;;;;0;;;;0;2024-10-02-09.53.11.000000;;;;;;;;;;;NAO ALIMENTO \ ACESSORIOS E CALCADO \ CALCADOS \ CHINELO \ CHINELO MASCULINO;;S;;;;;;;;;;;;;;;2024-10-02-09.53.11.000000;PACEZAR;;N;0;;S;;;;
56;1;M;5;CHINELO UNISSEX;S;0;;;45;I;S;;S;;S;;2024-10-02-09.53.11.000000;1706963;;;;0;;;;0;2024-10-02-09.53.11.000000;;;;;;;;;;;NAO ALIMENTO \ ACESSORIOS E CALCADO \ CALCADOS \ CHINELO \ CHINELO UNISSEX;;S;;;;;;;;;;;;;;;2024-10-02-09.53.11.000000;PACEZAR;;N;0;;S;;;;
58;1;M;4;ACESSORIOS DE COZINHA;N;0;;;41;I;S;;S;;S;;2024-10-02-09.53.14.000000;1706963;;;;0;;;;0;2024-10-02-09.53.14.000000;;;;;;;;;;;NAO ALIMENTO \ ARRUMACAO E FVM \ ARRUMACAO \ ACESSORIOS DE COZINHA;;S;;;;;;;;;;;;;;;2024-10-02-09.53.14.000000;PACEZAR;;N;0;;S;;;;
59;1;M;4;AREA DE SERV E ACESSORIOS;N;0;;;41;I;S;;S;;S;;2024-10-02-09.53.14.000000;1706963;;;;0;;;;0;2024-10-02-09.53.14.000000;;;;;;;;;;;NAO ALIMENTO \ ARRUMACAO E FVM \ ARRUMACAO \ AREA DE SERV E ACESSORIOS;;S;;;;;;;;;;;;;;;2024-10-02-09.53.14.000000;PACEZAR;;N;0;;S;;;;
60;1;M;4;BANQUETAS E ESCADAS;N;0;;;41;I;S;;S;;S;;2024-10-02-09.53.14.000000;1706963;;;;0;;;;0;2024-10-02-09.53.14.000000;;;;;;;;;;;NAO ALIMENTO \ ARRUMACAO E FVM \ ARRUMACAO \ BANQUETAS E ESCADAS;;S;;;;;;;;;;;;;;;2024-10-02-09.53.14.000000;PACEZAR;;N;0;;S;;;;
1;1;M;1;A CLASSIFICAR;N;0;;;;F;;;;;S;;2019-12-04-11.02.20.000000;0;;;;;;;;;2019-12-04-11.02.20.000000;;;;;;;;;;;A CLASSIFICAR;;;;;;;;;;;;;;;;;;;;N;0;;S;;;;
2;1;M;2;FAMILIAS;S;0;;;1;F;;;;;S;;2019-12-04-11.02.20.000000;0;;;;;;;;;2019-12-04-11.02.20.000000;;;;;;;;;;;A CLASSIFICAR \ FAMILIAS;;;;;;;;;;;;;;;;;;;;N;0;;S;;;;
3;1;C;1;A CLASSIFICAR;N;0;;;;F;;;;;S;;2019-12-04-11.02.20.000000;0;;;;;;;;;2019-12-04-11.02.20.000000;;;;;;;;;;;A CLASSIFICAR;;;;;;;;;;;;;;;;;;;;N;0;;S;;;;
4;1;C;2;FAMILIAS;S;0;;;3;F;;;;;S;;2019-12-04-11.02.20.000000;0;;;;;;;;;2019-12-04-11.02.20.000000;;;;;;;;;;;A CLASSIFICAR \ FAMILIAS;;;;;;;;;;;;;;;;;;;;N;0;;S;;;;
5;1;L;1;A CLASSIFICAR;N;0;;;;F;;;;;S;;2019-12-04-11.02.20.000000;0;;;;;;;;;2019-12-04-11.02.20.000000;;;;;;;;;;;A CLASSIFICAR;;;;;;;;;;;;;;;;;;;;N;0;;S;;;;
6;1;L;2;FAMILIAS;S;0;;;5;F;;;;;S;;2019-12-04-11.02.20.000000;0;;;;;;;;;2019-12-04-11.02.20.000000;;;;;;;;;;;A CLASSIFICAR \ FAMILIAS;;;;;;;;;;;;;;;;;;;;N;0;;S;;;;
61;1;M;4;CABIDES;N;0;;;41;I;S;;S;;S;;2024-10-02-09.53.14.000000;1706963;;;;0;;;;0;2024-10-02-09.53.14.000000;;;;;;;;;;;NAO ALIMENTO \ ARRUMACAO E FVM \ ARRUMACAO \ CABIDES;;S;;;;;;;;;;;;;;;2024-10-02-09.53.14.000000;PACEZAR;;N;0;;S;;;;
63;1;M;4;ELETRICA;N;0;;;42;I;S;;S;;S;;2024-10-02-09.53.14.000000;1706963;;;;0;;;;0;2024-10-02-09.53.14.000000;;;;;;;;;;;NAO ALIMENTO \ ARRUMACAO E FVM \ FACA VOCE MESMO \ ELETRICA;;S;;;;;;;;;;;;;;;2024-10-02-09.53.14.000000;PACEZAR;;N;0;;S;;;;
64;1;M;4;FERRAMENTA MANUAIS E ACES;N;0;;;42;I;S;;S;;S;;2024-10-02-09.53.14.000000;1706963;;;;0;;;;0;2024-10-02-09.53.14.000000;;;;;;;;;;;NAO ALIMENTO \ ARRUMACAO E FVM \ FACA VOCE MESMO \ FERRAMENTA MANUAIS E ACES;;S;;;;;;;;;;;;;;;2024-10-02-09.53.14.000000;PACEZAR;;N;0;;S;;;;
65;1;M;4;HIDRAULICA;N;0;;;42;I;S;;S;;S;;2024-10-02-09.53.14.000000;1706963;;;;0;;;;0;2024-10-02-09.53.14.000000;;;;;;;;;;;NAO ALIMENTO \ ARRUMACAO E FVM \ FACA VOCE MESMO \ HIDRAULICA;;S;;;;;;;;;;;;;;;2024-10-02-09.53.14.000000;PACEZAR;;N;0;;S;;;;
67;1;M;4;PILHAS E ACENDEDORES;N;0;;;42;I;S;;S;;S;;2024-10-02-09.53.14.000000;1706963;;;;0;;;;0;2024-10-02-09.53.14.000000;;;;;;;;;;;NAO ALIMENTO \ ARRUMACAO E FVM \ FACA VOCE MESMO \ PILHAS E ACENDEDORES;;S;;;;;;;;;;;;;;;2024-10-02-09.53.14.000000;PACEZAR;;N;0;;S;;;;
